RunTime,WheelSpeed,WheelBackupSpeed,WheelSpeedReference,DutyCycle,WheelCurrent,DigitalCurrent,MCUtemperature,BackupMode,ControlMode,MotorSwitch,WheelErrorState
179.794,0,0,0,0,3,28,24,False,SpeedController,True,
180.498,0,0,0,0,3,28,25,False,SpeedController,True,
181.200,0,0,0,-0.009630122,3,28,24,False,SpeedController,True,
181.904,0,0,0,0,3,28,24,False,SpeedController,True,
182.608,0,0,0,0,3,28,24,False,SpeedController,True,
183.307,0,0,0,0,3,28,23,False,SpeedController,True,
184.011,0,0,0,0,3,28,25,False,SpeedController,True,
184.713,0,0,0,0,3,28,24,False,SpeedController,True,
185.431,0,0,0,0,3,28,23,False,SpeedController,True,
186.131,0,0,0,0.0032334984,3,28,24,False,SpeedController,True,
186.845,0,0,0,0,3,28,23,False,SpeedController,True,
187.545,0,0,0,0,3,28,25,False,SpeedController,True,
188.252,0,0,0,0,3,28,23,False,SpeedController,True,
188.963,0,0,0,0,3,28,24,False,SpeedController,True,
189.673,0,0,0,0,3,28,23,False,SpeedController,True,
190.378,0,0,0,0,3,28,23,False,SpeedController,True,
191.098,0,0,0,0,3,28,23,False,SpeedController,True,
191.816,0,0,0,0,3,28,25,False,SpeedController,True,
192.520,0,0,0,-0.0092395665,3,28,24,False,SpeedController,True,
193.232,0,0,0,0,3,28,24,False,SpeedController,True,
193.925,0,0,0,0,3,28,24,False,SpeedController,True,
194.635,0,0,0,0,3,28,23,False,SpeedController,True,
195.339,0,0,0,0,3,28,24,False,SpeedController,True,
196.035,0,0,0,0,3,28,23,False,SpeedController,True,
196.747,0,0,0,0,3,28,23,False,SpeedController,True,
197.444,0,0,0,0.004583281,3,28,23,False,SpeedController,True,
198.155,0,0,0,0,3,28,24,False,SpeedController,True,
198.857,0,0,0,0,3,28,24,False,SpeedController,True,
199.561,0,0,0,-0.0032179079,3,28,24,False,SpeedController,True,
200.265,0,0,0,0,3,28,25,False,SpeedController,True,
200.965,0,0,0,0,3,28,23,False,SpeedController,True,
201.673,0,0,0,-0.005630217,3,28,24,False,SpeedController,True,
202.383,0,0,0,0,3,28,25,False,SpeedController,True,
203.081,0,0,0,0,3,28,24,False,SpeedController,True,
203.790,0,0,0,0,3,28,23,False,SpeedController,True,
204.496,0,0,0,0,3,28,24,False,SpeedController,True,
205.196,0,0,0,-0.0019894142,3,28,23,False,SpeedController,True,
205.906,0,0,0,0,3,28,24,False,SpeedController,True,
206.600,0,0,0,0,3,28,24,False,SpeedController,True,
207.314,0,0,0,0,3,28,23,False,SpeedController,True,
208.007,0,0,0,0,3,28,24,False,SpeedController,True,
208.716,0,0,0,0.0049479525,3,28,25,False,SpeedController,True,
209.416,0,0,0,0.01231164,3,28,23,False,SpeedController,True,
210.127,0,0,0,0,3,28,25,False,SpeedController,True,
210.840,0,0,0,0,3,28,23,False,SpeedController,True,
211.542,0,0,0,-0.033501986,3,28,24,False,SpeedController,True,
212.244,0,0,0,0,3,28,23,False,SpeedController,True,
212.952,0,0,0,0,3,28,25,False,SpeedController,True,
213.647,0,0,0,-0.00650026,3,28,24,False,SpeedController,True,
214.362,0,0,0,0.0025380275,3,28,23,False,SpeedController,True,
215.072,0,0,0,0,3,28,25,False,SpeedController,True,
215.778,0,0,0,0,3,28,24,False,SpeedController,True,
216.477,0,0,0,0,3,28,24,False,SpeedController,True,
217.186,0,0,0,0,3,28,24,False,SpeedController,True,
217.898,0,0,0,0,3,28,24,False,SpeedController,True,
218.611,0,0,0,0,3,28,23,False,SpeedController,True,
219.305,0,0,0,0,3,28,25,False,SpeedController,True,
220.015,0,0,0,0,3,28,25,False,SpeedController,True,
220.714,0,0,0,0,3,28,25,False,SpeedController,True,
221.423,0,0,0,0,3,28,23,False,SpeedController,True,
222.131,0,0,0,0,3,28,23,False,SpeedController,True,
